Q23008452	Ronja von Rönne
Q102605	Paul II
Q163159	Alfred Nicolas Rambaud
Q181686	André Mazon
Q5743090	Jimmy Frew
Q1607355	Walter Casaroli
Q3619122	Antonino Tripodi
Q1681730	Jan Eilers
Q815103	Siege of Acre
Q327009	Maurice Papon
Q386245	Lord of the Flies
Q6757541	Marco Firenze
Q2915105	Nachum Gutman
Q10484639	Mark Rhodes
Q16612253	Targa d'Oro
Q879243	Juan Esteban Montero
Q486156	University of Oslo
Q7609857	Stephen M. Ross
Q6850510	Milan Bortel
Q288210	Isabella Bird
Q3418007	Rajkumar Hirani
Q1179411	Tommy Smith
Q2042833	Aleksandr Grave
Q365208	Adolfo Valencia
Q4648232	Ashesh Prosad Mitra
Q5482790	Francis William Maclean
Q290572	B. Nagi Reddy
Q468011	2000–01 2. Fußball-Bundesliga
Q1230963	Under Western Stars
Q299762	Tomáš Sivok
Q253476	Christie Brinkley
Q1938171	Miriam Stein
Q74133	Barbara Lochbihler
Q4893008	Ramón Xirau
Q6702046	Luke Hubbins
Q208301	Khalid of Saudi Arabia
Q180923	Susan Kieffer
Q5489730	Frank Spitzer
Q55015247	Martin Wilhelm Beijerinck
Q83476	Alfred the Great
Q289217	Étienne-Jules Marey
Q17496584	Frank Morrad
Q1216344	The Passerby
Q3264972	Hubertine Heijermans
Q7150300	Paul Dobson
Q7032412	Nigel Griffiths
Q7526795	Sir Frederick Williams, 2nd Baronet
Q5593249	Graham Smith
Q7529330	Sir Trevor Lawrence, 2nd Baronet
Q757046	Discovery Channel
Q7183120	Philip Alston
Q230733	Dianne Feinstein
Q1988428	Avex Trax
Q449514	Bo Widerberg
Q849864	1922 Tour de France
Q5752522	Carmen García Bloise
Q449030	Hal David
Q109132	Gottfried Kiesow
Q4755044	Andrea De Paola
Q1200065	Lucas Severino
Q35775	Boise
Q472877	Alan Deyermond
Q55020357	Francois de Bremond
Q538708	Esther Tusquets
Q4773528	Anthony Stodart, Baron Stodart of Leaston
Q207293	crown prince
Q2025879	Constantin Stere
Q1648827	2001 Copa do Brasil
Q3806452	Jimmy Aggrey
Q319939	Carlos P. Garcia
Q81491	Joseph Arch
Q562789	Nikolai Dmitriyevich Kuznetsov
Q381433	Viggo Brun
Q219248	Marc Overmars
Q8000233	Wilbur Ross
Q355785	Joseph Locke
Q638594	Knud Ejler Løgstrup
Q13424083	Julius Doms
Q1396610	Sugako Hashida
Q124589	Mely Kiyak
Q959123	Charles F. Kettering
Q4051948	German submarine U-224
